               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11707,            0.074894,            0.049609,             0.22026,            0.032773,            0.027982,           0.0075743,            0.099037,            0.060672,            0.036587,             0.00124,             0.00124,             0.08884
                   1,            0.094124,            0.082227,            0.029086,             0.26109,             0.11817,            0.070461,            0.018056,            0.089723,            0.049287,            0.022037,           0.0024878,           0.0024878,            0.077588
                   2,            0.085283,            0.074108,            0.019844,             0.74709,               0.107,            0.078203,            0.018389,            0.084473,            0.046258,            0.016223,           0.0037267,           0.0037267,            0.066327
                   3,              0.0856,            0.073465,            0.016607,             0.80179,             0.11912,             0.11796,            0.035948,            0.073007,            0.046942,             0.01366,           0.0049502,           0.0049502,             0.05505
                   4,            0.083059,            0.068468,            0.014285,             0.77018,              0.1187,            0.094617,            0.030142,            0.076381,            0.044369,            0.012713,           0.0061518,           0.0061518,            0.043752
                   5,            0.084206,            0.069731,            0.013925,             0.79011,             0.13596,             0.11497,            0.032359,            0.078395,            0.045893,             0.01288,            0.007325,            0.007325,            0.032425
                   6,            0.081492,            0.069001,            0.014031,             0.41879,             0.22827,             0.12427,            0.043344,             0.07412,            0.044276,            0.012266,           0.0084638,           0.0084638,            0.021064
                   7,            0.079374,            0.072379,            0.012972,             0.61713,             0.26788,             0.15193,            0.057011,             0.07482,            0.045634,            0.012207,           0.0095622,           0.0095622,           0.0096622
                   8,            0.076298,            0.071767,            0.013019,             0.73475,             0.23545,             0.19263,            0.078546,            0.067908,            0.044903,            0.011447,           0.0094434,           0.0094434,           0.0094434
                   9,            0.073353,            0.069718,            0.011985,             0.79251,             0.20981,             0.22019,            0.090694,            0.064517,            0.043872,            0.011141,           0.0094434,           0.0094434,           0.0094434
                  10,            0.069564,            0.068118,            0.011663,             0.79191,             0.22094,             0.22652,            0.092697,            0.061929,            0.045546,            0.010546,           0.0092995,           0.0092995,           0.0092995
                  11,            0.068883,            0.073517,            0.011749,             0.62897,             0.23014,             0.25979,             0.11786,            0.061164,            0.043394,            0.010041,           0.0091406,           0.0091406,           0.0091406
                  12,            0.067285,            0.070806,            0.011004,             0.60971,             0.26309,             0.25662,             0.10538,            0.060832,            0.043934,           0.0096644,           0.0089673,           0.0089673,           0.0089673
                  13,             0.06608,            0.067454,            0.010704,             0.64303,             0.21136,             0.25049,             0.10741,            0.062879,            0.043292,           0.0093866,           0.0087804,           0.0087804,           0.0087804
