               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12848,            0.087425,            0.056482,           0.0035807,            0.032075,          0.00076054,          0.00018529,             0.12709,            0.044101,            0.057303,               6e-05,               6e-05,             0.09946
                   1,             0.12591,            0.063671,            0.056651,            0.004508,            0.033255,          0.00092517,          0.00021635,             0.12608,             0.04431,            0.056791,          0.00012872,          0.00012872,            0.098829
                   2,             0.12732,            0.065863,            0.055692,           0.0034269,            0.034434,          0.00089778,          0.00019936,             0.12492,            0.044658,            0.056233,          0.00019222,          0.00019222,            0.098192
                   3,             0.12509,            0.055412,            0.054216,           0.0027521,            0.035613,          0.00089715,          0.00015897,             0.12336,            0.045157,            0.055587,           0.0002468,           0.0002468,            0.097547
                   4,             0.12394,            0.061441,            0.054664,           0.0034302,            0.037972,           0.0011611,          0.00017873,              0.1219,            0.045741,            0.055005,          0.00028938,          0.00028938,            0.096889
