               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12848,            0.087425,            0.056482,           0.0035807,            0.032075,          0.00076054,          0.00018529,             0.12709,            0.044101,            0.057303,               6e-05,               6e-05,             0.09946
                   1,             0.12592,            0.063666,            0.056656,           0.0045017,            0.033255,          0.00092526,          0.00021042,             0.12611,            0.044296,            0.056804,          0.00011883,          0.00011883,            0.098819
                   2,             0.12741,            0.065812,            0.055746,           0.0034242,            0.034434,          0.00089952,          0.00019979,             0.12513,            0.044549,            0.056328,          0.00013781,          0.00013781,            0.098138
                   3,             0.12542,            0.055259,            0.054364,           0.0027499,            0.035613,          0.00088971,          0.00015812,             0.12409,            0.044781,            0.055893,          0.00011095,          0.00011095,            0.097411
                   4,             0.12485,            0.060731,            0.055116,           0.0025796,            0.034434,           0.0007788,          0.00013942,             0.12335,            0.044961,            0.055608,           6.322e-05,           6.322e-05,            0.096663
