               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12848,            0.087425,            0.056482,           0.0035807,            0.032075,          0.00076054,          0.00018529,             0.12709,            0.044101,            0.057303,               6e-05,               6e-05,             0.09946
                   1,             0.12591,            0.063671,            0.056651,           0.0045082,            0.033255,           0.0009252,          0.00021636,             0.12608,            0.044311,             0.05679,          0.00012954,          0.00012954,             0.09883
                   2,             0.12731,            0.065868,            0.055688,           0.0034304,            0.034434,          0.00089839,          0.00019945,              0.1249,            0.044668,            0.056224,          0.00019717,          0.00019717,            0.098197
                   3,             0.12506,            0.055426,            0.054202,           0.0033962,            0.010613,          0.00089597,          0.00015279,             0.12329,            0.045194,            0.055557,          0.00026147,          0.00026147,            0.097561
                   4,             0.12384,            0.061519,            0.054613,           0.0031734,            0.036792,           0.0010724,          0.00016991,             0.12172,            0.045835,            0.054933,          0.00032107,          0.00032107,            0.096921
                   5,             0.12253,            0.075741,            0.053264,           0.0035549,            0.037972,           0.0014188,          0.00023361,              0.1203,            0.046536,            0.054305,          0.00037476,          0.00037476,            0.096275
                   6,             0.11971,            0.069669,            0.052245,           0.0039561,            0.039151,           0.0015977,          0.00029944,             0.11899,            0.047159,            0.053612,          0.00042146,          0.00042146,            0.095621
                   7,             0.12029,            0.062812,            0.052604,           0.0034728,            0.045047,           0.0017546,          0.00038173,             0.11736,            0.047858,             0.05269,          0.00046026,          0.00046026,             0.09496
                   8,             0.11915,            0.076405,            0.050807,            0.004443,            0.050943,           0.0020157,          0.00046897,              0.1159,            0.048442,            0.051878,           0.0004905,           0.0004905,             0.09429
                   9,             0.11645,            0.065269,            0.049455,           0.0062057,            0.062736,            0.002793,          0.00067704,             0.11418,            0.049219,            0.050811,           0.0005117,           0.0005117,            0.093612
                  10,             0.11749,            0.084024,             0.04879,           0.0076349,            0.034198,           0.0031254,          0.00071991,             0.11291,            0.049587,            0.049953,          0.00052368,          0.00052368,            0.092924
                  11,             0.11595,            0.090211,            0.047766,           0.0091572,            0.029481,           0.0040203,          0.00085417,             0.11146,            0.049921,            0.048977,          0.00052649,          0.00052649,            0.092226
                  12,             0.11465,             0.07022,             0.04791,           0.0097411,            0.034198,           0.0046268,           0.0010111,             0.11042,            0.050044,            0.048126,          0.00052043,          0.00052043,             0.09152
                  13,             0.11123,            0.066187,            0.047859,            0.012115,            0.048349,           0.0058335,           0.0011638,             0.10913,            0.050157,            0.047127,          0.00050609,          0.00050609,            0.090806
                  14,             0.11129,            0.062882,            0.045694,            0.015513,             0.04717,           0.0066028,           0.0013427,              0.1083,            0.050282,            0.046509,          0.00048431,          0.00048431,            0.090084
                  15,              0.1115,            0.077665,            0.044427,            0.017378,            0.044811,           0.0075123,           0.0015781,             0.10709,            0.050643,            0.045806,          0.00045615,          0.00045615,            0.089356
                  16,             0.11063,            0.056358,             0.04423,            0.018776,            0.053066,           0.0095301,              0.0021,             0.10618,            0.050837,            0.045166,          0.00042291,          0.00042291,            0.088623
                  17,             0.10798,            0.064172,            0.044989,            0.023402,            0.054245,            0.011695,           0.0025238,             0.10531,            0.051086,            0.044584,           0.0003861,           0.0003861,            0.087886
                  18,             0.10878,            0.070348,            0.042005,            0.023468,            0.061206,            0.012339,           0.0028502,             0.10419,            0.051349,            0.043888,          0.00034737,          0.00034737,            0.087147
                  19,             0.10646,             0.06627,            0.041934,            0.025912,            0.057783,            0.013509,           0.0029756,             0.10352,            0.051492,            0.043423,          0.00030853,          0.00030853,            0.086409
                  20,              0.1056,            0.055698,            0.040883,            0.025594,            0.064858,            0.014139,           0.0034373,             0.10283,             0.05165,            0.042909,          0.00027148,          0.00027148,            0.085671
                  21,             0.10535,            0.061628,            0.040181,            0.027188,              0.0625,            0.015541,            0.003785,             0.10207,            0.051829,            0.042322,          0.00023816,          0.00023816,            0.084938
                  22,             0.10544,            0.063973,            0.040763,             0.29843,            0.036557,            0.018097,           0.0042791,             0.10133,            0.052056,            0.041938,          0.00021056,          0.00021056,            0.084211
                  23,             0.10409,            0.062596,            0.038853,             0.30098,            0.037736,            0.019516,            0.004734,             0.10089,              0.0521,            0.041609,          0.00019061,          0.00019061,            0.083491
                  24,             0.10503,             0.08521,            0.039386,             0.29567,            0.045991,            0.021025,           0.0052491,             0.10056,            0.052157,             0.04144,          0.00018017,          0.00018017,             0.08278
