               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12848,            0.087425,            0.056482,           0.0035807,            0.032075,          0.00076054,          0.00018529,             0.12709,            0.044101,            0.057303,               6e-05,               6e-05,             0.09946
                   1,             0.12591,            0.063671,            0.056651,           0.0045082,            0.033255,           0.0009252,          0.00021636,             0.12608,            0.044311,             0.05679,          0.00012954,          0.00012954,             0.09883
                   2,             0.12731,            0.065868,            0.055688,           0.0034304,            0.034434,          0.00089839,          0.00019945,              0.1249,            0.044668,            0.056224,          0.00019717,          0.00019717,            0.098197
                   3,             0.12506,            0.055426,            0.054202,           0.0033962,            0.010613,          0.00089597,          0.00015279,             0.12329,            0.045194,            0.055557,          0.00026147,          0.00026147,            0.097561
                   4,             0.12384,            0.061519,            0.054613,           0.0031734,            0.036792,           0.0010724,          0.00016991,             0.12172,            0.045835,            0.054933,          0.00032107,          0.00032107,            0.096921
