               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11938,            0.078303,                   0,            0.022596,            0.010526,          0.00092577,          0.00013392,             0.11444,            0.036594,                   0,               6e-05,               6e-05,             0.09946
                   1,             0.11528,            0.059424,                   0,            0.027284,            0.010526,           0.0011826,          0.00017462,             0.11306,            0.036642,                   0,          0.00011883,          0.00011883,            0.098819
                   2,             0.11929,            0.061479,                   0,             0.01839,            0.010526,           0.0010776,          0.00020788,             0.11139,            0.036671,                   0,          0.00013781,          0.00013781,            0.098138
                   3,             0.11726,            0.052598,                   0,            0.017252,            0.010526,           0.0012193,          0.00017284,             0.10974,            0.036743,                   0,          0.00011095,          0.00011095,            0.097411
                   4,             0.11298,            0.048212,                   0,            0.013038,            0.010526,           0.0010681,          0.00017428,             0.10854,            0.036778,                   0,           6.322e-05,           6.322e-05,            0.096663
