               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11132,            0.098639,            0.051251,           0.0030289,            0.013248,          0.00083358,          0.00019533,              0.1028,            0.077915,            0.048014,             0.00124,             0.00124,             0.08884
                   1,             0.10661,             0.11668,            0.043162,           0.0077638,            0.017177,            0.003237,          0.00058788,             0.10751,            0.070053,            0.032932,           0.0024878,           0.0024878,            0.077588
                   2,             0.10253,            0.094189,            0.029871,             0.85475,             0.04314,            0.014596,           0.0028608,            0.095226,            0.064738,            0.024623,           0.0037267,           0.0037267,            0.066327
                   3,             0.09465,            0.087325,            0.023966,             0.72721,            0.088892,            0.035337,            0.007162,            0.090062,            0.060447,            0.017885,           0.0049502,           0.0049502,             0.05505
                   4,            0.092894,            0.080922,            0.018652,             0.73312,            0.095012,            0.041358,           0.0083776,             0.08569,            0.055012,            0.015719,           0.0061518,           0.0061518,            0.043752
                   5,            0.091833,            0.081283,            0.016654,             0.72613,            0.099708,            0.040797,            0.008629,            0.086458,             0.05247,            0.014875,            0.007325,            0.007325,            0.032425
                   6,            0.088985,            0.079059,            0.015684,             0.75254,            0.098005,            0.058181,            0.013809,            0.083461,            0.052813,            0.013072,           0.0084638,           0.0084638,            0.021064
                   7,            0.089718,            0.078703,            0.014161,             0.74868,             0.10316,             0.05468,            0.011532,            0.082594,            0.051172,            0.014016,           0.0095622,           0.0095622,           0.0096622
                   8,            0.088142,            0.077321,            0.014074,             0.74739,             0.10305,            0.060245,             0.01365,            0.081712,            0.050766,            0.013122,           0.0094434,           0.0094434,           0.0094434
                   9,             0.08171,            0.075745,            0.013462,             0.78695,             0.11927,            0.083258,            0.019996,            0.079622,            0.050431,            0.012772,           0.0094434,           0.0094434,           0.0094434
                  10,            0.079628,             0.07365,            0.012951,                0.79,              0.1235,            0.096675,            0.024849,            0.077314,            0.050021,            0.011963,           0.0092995,           0.0092995,           0.0092995
                  11,            0.077223,            0.079964,            0.013548,             0.80684,             0.12081,             0.11462,            0.034653,            0.072871,            0.048697,            0.011981,           0.0091406,           0.0091406,           0.0091406
                  12,            0.075516,            0.076725,             0.01284,             0.82571,             0.13077,             0.13795,            0.047701,            0.067462,            0.049004,            0.011592,           0.0089673,           0.0089673,           0.0089673
                  13,            0.073008,            0.075034,            0.012543,             0.82383,             0.12966,             0.13675,            0.039902,            0.071061,             0.04802,            0.011338,           0.0087804,           0.0087804,           0.0087804
                  14,            0.071682,             0.08019,            0.012821,              0.8422,             0.14036,             0.16803,             0.06306,            0.066151,            0.047889,            0.011324,           0.0085805,           0.0085805,           0.0085805
                  15,            0.070999,            0.076523,            0.012509,             0.85821,             0.12893,             0.17067,            0.066003,            0.064996,            0.047253,             0.01094,           0.0083684,           0.0083684,           0.0083684
                  16,            0.069109,            0.079972,            0.011736,             0.49654,             0.29458,             0.20425,            0.078937,            0.065563,            0.047077,            0.010527,            0.008145,            0.008145,            0.008145
                  17,            0.069375,            0.071585,            0.012306,             0.52111,             0.27193,             0.19925,            0.083736,            0.064622,            0.047081,            0.010551,           0.0079112,           0.0079112,           0.0079112
                  18,            0.067826,            0.071583,            0.011255,             0.47824,             0.29512,             0.20507,            0.085172,            0.063094,            0.046639,            0.010365,           0.0076679,           0.0076679,           0.0076679
                  19,            0.067725,             0.07242,            0.011324,             0.52127,             0.28723,             0.21274,            0.091925,            0.062618,             0.04614,            0.010202,            0.007416,            0.007416,            0.007416
                  20,            0.067168,            0.074488,            0.011311,             0.51742,             0.28933,             0.22635,            0.098041,            0.062132,             0.04602,           0.0098869,           0.0071566,           0.0071566,           0.0071566
                  21,            0.065614,            0.070464,            0.010584,             0.48613,             0.31801,             0.22914,              0.1044,            0.061437,            0.045752,           0.0095911,           0.0068906,           0.0068906,           0.0068906
                  22,            0.064925,              0.0687,            0.011242,             0.50636,             0.31068,             0.24013,             0.09937,              0.0627,            0.045845,           0.0094872,           0.0066191,           0.0066191,           0.0066191
                  23,            0.065493,            0.074399,            0.010532,             0.52631,             0.30275,             0.23793,             0.10866,            0.061096,            0.045868,           0.0095801,           0.0063432,           0.0063432,           0.0063432
                  24,            0.064708,            0.069903,            0.010254,              0.5211,             0.31342,             0.25052,             0.11772,              0.0609,            0.045366,           0.0092711,            0.006064,            0.006064,            0.006064
                  25,            0.063219,            0.066612,            0.010349,             0.78364,             0.22016,             0.25887,             0.12705,             0.05897,            0.045077,           0.0091596,           0.0057826,           0.0057826,           0.0057826
                  26,            0.063581,            0.071923,            0.010118,             0.77914,             0.22643,             0.26233,             0.12188,            0.059892,            0.045045,            0.008948,              0.0055,              0.0055,              0.0055
                  27,             0.06338,            0.069589,           0.0092769,              0.5617,             0.30429,             0.26605,             0.12379,             0.05945,            0.044689,           0.0087573,           0.0052174,           0.0052174,           0.0052174
                  28,            0.063349,            0.075289,             0.01009,             0.56942,             0.31343,             0.26723,             0.12969,            0.059159,            0.044513,           0.0087121,            0.004936,            0.004936,            0.004936
                  29,            0.062227,             0.07141,           0.0098594,             0.57801,             0.30325,              0.2704,             0.12399,            0.058032,            0.044255,           0.0086039,           0.0046568,           0.0046568,           0.0046568
                  30,            0.061522,            0.069526,           0.0095631,             0.56773,             0.31846,             0.27355,             0.13188,            0.058133,            0.044183,           0.0083855,           0.0043809,           0.0043809,           0.0043809
                  31,            0.061203,            0.066355,           0.0092807,             0.61652,             0.27887,             0.28416,             0.14383,            0.057252,            0.044326,           0.0082876,           0.0041094,           0.0041094,           0.0041094
                  32,            0.062184,            0.077255,           0.0094208,             0.61086,             0.28574,             0.27514,             0.12649,            0.057546,            0.044005,           0.0083395,           0.0038434,           0.0038434,           0.0038434
                  33,             0.06046,            0.068666,           0.0094512,             0.64753,             0.25627,             0.28396,             0.14637,            0.057013,            0.043855,           0.0081642,            0.003584,            0.003584,            0.003584
                  34,             0.06086,            0.072703,           0.0094955,             0.59444,             0.32234,             0.28671,             0.14487,            0.056899,            0.043515,           0.0080234,           0.0033321,           0.0033321,           0.0033321
                  35,            0.060625,            0.068025,           0.0091284,             0.61338,             0.29488,             0.28802,             0.14638,            0.056546,            0.043559,           0.0079469,           0.0030888,           0.0030888,           0.0030888
                  36,            0.059947,            0.073707,           0.0093989,             0.62056,             0.30301,               0.289,             0.14998,            0.056448,            0.043297,           0.0078867,            0.002855,            0.002855,            0.002855
                  37,            0.060167,             0.06303,            0.009303,             0.64754,             0.28454,             0.28847,             0.15214,            0.056372,            0.043309,           0.0078919,           0.0026316,           0.0026316,           0.0026316
                  38,            0.059736,             0.07228,           0.0086061,             0.61048,             0.32273,             0.28935,             0.15111,            0.055986,            0.043103,           0.0077674,           0.0024195,           0.0024195,           0.0024195
                  39,            0.059309,            0.071943,           0.0088757,               0.626,               0.319,             0.29435,             0.15476,            0.055743,            0.042901,           0.0076792,           0.0022196,           0.0022196,           0.0022196
                  40,            0.059613,            0.071901,           0.0089507,              0.6456,             0.31442,             0.29742,             0.15694,            0.055875,            0.042951,           0.0076588,           0.0020327,           0.0020327,           0.0020327
                  41,            0.059976,            0.069966,           0.0086018,             0.65597,             0.29999,             0.30498,              0.1616,            0.055752,            0.042867,           0.0075864,           0.0018594,           0.0018594,           0.0018594
                  42,            0.059609,             0.07373,           0.0091085,             0.65777,             0.30177,             0.30425,              0.1619,            0.055636,            0.042765,           0.0075478,           0.0017005,           0.0017005,           0.0017005
                  43,            0.058578,            0.069384,           0.0085306,              0.6152,             0.32921,             0.30653,             0.16404,            0.055439,            0.042697,           0.0074971,           0.0015566,           0.0015566,           0.0015566
                  44,            0.059632,             0.07137,           0.0088751,             0.64814,             0.30373,              0.3176,              0.1691,            0.055428,            0.042713,           0.0074791,           0.0014283,           0.0014283,           0.0014283
                  45,            0.058941,             0.06502,           0.0089393,             0.62392,             0.32047,             0.30899,             0.16434,            0.055258,            0.042623,           0.0074593,            0.001316,            0.001316,            0.001316
                  46,            0.058721,            0.068131,           0.0089818,             0.62878,             0.32489,             0.30843,             0.16643,            0.055171,            0.042463,           0.0074237,           0.0012202,           0.0012202,           0.0012202
                  47,            0.058536,            0.065659,           0.0094692,             0.63861,             0.31231,             0.30953,             0.16579,            0.055106,            0.042538,           0.0074325,           0.0011414,           0.0011414,           0.0011414
                  48,            0.058279,            0.069588,           0.0086107,             0.63109,             0.32282,             0.30728,             0.16576,            0.055064,            0.042555,           0.0073504,           0.0010797,           0.0010797,           0.0010797
