               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027386,           0.0063615,           0.0075619,             0.23615,             0.36132,            0.039205,            0.011079,            0.040618,           0.0084592,            0.014847,           0.0030888,           0.0030888,           0.0030888
                  36,            0.025976,           0.0074993,           0.0082362,             0.23204,             0.29955,            0.029068,           0.0087995,            0.041267,           0.0083632,            0.016055,            0.002855,            0.002855,            0.002855
                  37,            0.029654,           0.0073921,           0.0084786,             0.43875,             0.10053,             0.02463,           0.0062295,            0.043158,           0.0081814,            0.016426,           0.0026316,           0.0026316,           0.0026316
                  38,            0.030589,           0.0083399,            0.010183,             0.23385,             0.23346,            0.025832,           0.0079281,            0.044629,           0.0080408,            0.016407,           0.0024195,           0.0024195,           0.0024195
                  39,            0.027415,           0.0077574,           0.0098486,             0.22912,             0.34269,             0.02711,            0.007469,            0.042829,           0.0082845,            0.015792,           0.0022196,           0.0022196,           0.0022196
                  40,            0.023787,           0.0072699,           0.0084535,             0.23012,             0.33779,            0.031673,            0.011029,            0.041827,           0.0083685,            0.015145,           0.0020327,           0.0020327,           0.0020327
                  41,            0.023428,           0.0084704,            0.011138,             0.23496,             0.33885,            0.033569,           0.0093155,            0.041505,           0.0083888,            0.014917,           0.0018594,           0.0018594,           0.0018594
                  42,            0.023614,           0.0063191,           0.0090788,             0.22685,             0.17406,            0.023195,           0.0091961,            0.040389,           0.0085234,            0.015718,           0.0017005,           0.0017005,           0.0017005
                  43,            0.025425,           0.0077064,           0.0083963,             0.23839,             0.13877,            0.021982,           0.0078913,            0.040063,           0.0085519,            0.016105,           0.0015566,           0.0015566,           0.0015566
                  44,            0.027202,           0.0097629,            0.010656,             0.45901,             0.18877,            0.058569,            0.016104,            0.038427,           0.0086118,            0.016008,           0.0014283,           0.0014283,           0.0014283
                  45,             0.02442,            0.007325,           0.0096473,             0.26869,             0.16524,            0.087989,            0.018374,            0.039422,           0.0084424,            0.016385,            0.001316,            0.001316,            0.001316
                  46,            0.020239,           0.0068952,            0.006569,             0.27586,             0.22206,            0.065606,            0.013642,            0.039706,           0.0083701,            0.016288,           0.0012202,           0.0012202,           0.0012202
                  47,            0.023323,           0.0047916,           0.0081495,             0.25084,             0.18877,            0.055101,            0.014386,            0.038081,           0.0085306,            0.016383,           0.0011414,           0.0011414,           0.0011414
                  48,             0.02573,            0.011458,           0.0086525,             0.25965,             0.25544,            0.048285,             0.01381,            0.037295,           0.0086252,            0.016371,           0.0010797,           0.0010797,           0.0010797
                  49,            0.023017,           0.0062046,            0.008976,             0.28537,             0.15291,            0.079936,            0.019895,            0.037493,           0.0085817,            0.015667,           0.0010355,           0.0010355,           0.0010355
